Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,Amorphous,ENavg,dEN,N,Compo
71,-34,0,0,0,0,0,0,0,80.37820442,19.62179558,0,0,0,0,0,0.07374148,400.0916,13.36501606,3.755493855,0.13467141,0.100263309,-14.50991521,0,1.788155765,0.226367138,2,Cu/Zr
72,-17,0,0,0,0,0,0,0,74.69588398,25.30411602,0,0,0,0,0,0.3350156,379.6098,57.61036783,45.70393805,0.136603399,0.108208488,-17.38904249,0,1.755766539,0.247809971,2,Cu/Zr
73,0,0,0,0,0,0,0,0,69.01356354,30.98643646,0,0,0,0,0,0.8381482,359.128,136.3541265,122.1507892,0.138535388,0.113493564,-19.6740565,0,1.723377312,0.263589374,2,Cu/Zr
74,17,0,0,0,0,0,0,0,60.16077348,39.83922652,0,0,0,0,0,0.8829554,382.0933,152.8292182,135.047406,0.141545337,0.1175968,-22.05017988,0,1.672916409,0.279053202,2,Cu/Zr
75,34,0,0,0,0,0,0,0,51.26066298,48.73933702,0,0,0,0,0,0.8636885,405.0586,158.479538,137.1001231,0.144571375,0.117551595,-22.98537871,0,1.622185779,0.284909397,2,Cu/Zr
76,-34,0,0,0,0,0,0,0,59.04384615,40.95615385,0,0,0,0,0,1.283958,307.9015,179.0856651,160.8523686,0.141925092,0.11780579,-22.24752139,0,1.666549923,0.280299136,2,Cu/Zr
77,-17,0,0,0,0,0,0,0,51.57692308,48.42307692,0,0,0,0,0,1.208905,320.4675,175.4988877,154.2473115,0.144463846,0.117617962,-22.97712249,0,1.623988462,0.284858224,2,Cu/Zr
78,0,0,0,0,0,0,0,0,44.11,55.89,0,0,0,0,0,0.4364269,333.0335,65.84118443,41.57132863,0.1470026,0.114839022,-22.68083268,0,1.581427,0.283015642,2,Cu/Zr
79,17,0,0,0,0,0,0,0,35.6043956,64.3956044,0,0,0,0,0,0.3007593,389.7621,53.10273309,25.39474188,0.149894505,0.108610828,-21.09345248,0,1.532945055,0.2729322,2,Cu/Zr
80,34,0,0,0,0,0,0,0,27.09879121,72.90120879,0,0,0,0,0,0.2848957,446.4908,57.62309898,26.47697236,0.152786411,0.09890916,-18.17491865,0,1.48446311,0.253347825,2,Cu/Zr
81,-34,0,0,6.952135135,0,0,0,0,93.04786486,0,0,0,0,0,0,0.0876337,443.7049,17.61422645,13.13298652,0.130780854,0.077790781,-2.32877279,0,1.880534022,0.071214813,2,Cu/Ti
82,-17,0,0,9.172243243,0,0,0,0,90.82775676,0,0,0,0,0,0,0.0995298,401.8775,18.1194506,12.74301868,0.131668897,0.08768471,-2.999139402,0,1.874317719,0.080817443,2,Cu/Ti
83,0,0,0,11.39235135,0,0,0,0,88.60764865,0,0,0,0,0,0,0.1771613,360.05,28.89547751,22.6238536,0.132556941,0.095873771,-3.634018077,0,1.868101416,0.088961137,2,Cu/Ti
84,17,0,0,16.92624324,0,0,0,0,83.07375676,0,0,0,0,0,0,0.1780788,339.9676,27.42508308,18.92208328,0.134770497,0.111295441,-5.06205581,0,1.852606519,0.104995393,2,Cu/Ti
85,34,0,0,22.50959459,0,0,0,0,77.49040541,0,0,0,0,0,0,0.3607295,319.8852,52.2725888,41.51827007,0.137003838,0.121936875,-6.279399398,0,1.836973135,0.116940739,2,Cu/Ti
86,-34,0,0,18.25726648,0,0,0,0,81.74273352,0,0,0,0,0,0,0.240696,399.4198,43.55085293,34.51115794,0.135302907,0.114207683,-5.372635928,0,1.848879654,0.10816842,2,Cu/Ti
87,-17,0,0,23.71501374,0,0,0,0,76.28498626,0,0,0,0,0,0,0.4095165,361.3099,67.02695165,55.78658381,0.137486005,0.123746443,-6.51275819,0,1.833597962,0.119093829,2,Cu/Ti
88,0,0,0,29.23663462,0,0,0,0,70.76336538,0,0,0,0,0,0,0.4976866,323.2,72.86609603,59.39930022,0.139694654,0.130241124,-7.447977568,0,1.818137423,0.127357921,2,Cu/Ti
89,17,0,0,39.03778846,0,0,0,0,60.96221154,0,0,0,0,0,0,0.585683,331.756,88.01964375,70.60082669,0.143615115,0.135872886,-8.567387705,0,1.790694192,0.136593801,2,Cu/Ti
90,34,0,0,48.83894231,0,0,0,0,51.16105769,0,0,0,0,0,0,0.3006539,340.3121,46.34922052,24.9783822,0.147535577,0.13552397,-8.995147002,0,1.763250962,0.139962249,2,Cu/Ti
91,-34,0,0,38.68703297,0,0,0,0,61.31296703,0,0,0,0,0,0,0.8122049,269.061,98.99529616,81.71791072,0.143474813,0.135782313,-8.539260397,0,1.791676308,0.136369394,2,Cu/Ti
92,-17,0,0,46.95351648,0,0,0,0,53.04648352,0,0,0,0,0,0,0.3414503,285.8555,44.21526714,23.60467023,0.146781407,0.136003883,-8.966588177,0,1.768530154,0.139739889,2,Cu/Ti
93,0,0,0,55.22,0,0,0,0,44.78,0,0,0,0,0,0,0.545023,302.65,74.72289856,50.77909016,0.150088,0.132526969,-8.90190576,0,1.745384,0.139234954,2,Cu/Ti
94,17,0,0,63.99461538,0,0,0,0,36.00538462,0,0,0,0,0,0,0.446736,335.3236,67.85990907,40.37800025,0.153597846,0.125005842,-8.294942665,0,1.720815077,0.134404397,2,Cu/Ti
