Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,ENavg,dEN,N,Compo
52501,35,9,23.6237,0,0,0,51.69033,0,0,0,24.68597,0,0,0,0,0.635,545.2,156.829506,151.6597706,0.131967723,0.057640494,-12.99888782,1.885336726,0.191172689,3,Al/Co/Mo
52502,35,11,23.26537,0,0,0,51.3209,0,0,0,25.41373,0,0,0,0,0.635,544.5,156.6281475,151.4520979,0.131983277,0.057385448,-12.86542858,1.888341945,0.191872955,3,Al/Co/Mo
52503,35,13,22.90831,0,0,0,50.94628,0,0,0,26.14542,0,0,0,0,0.636,541.5,156.010482,150.8281985,0.131999505,0.05712866,-12.73182668,1.891354927,0.19253373,3,Al/Co/Mo
52504,35,15,22.55249,0,0,0,50.56647,0,0,0,26.88104,0,0,0,0,0.636,538.5,155.146158,149.9577218,0.132016363,0.056870082,-12.59806593,1.894375189,0.193155001,3,Al/Co/Mo
52505,35,17,22.19794,0,0,0,50.18147,0,0,0,27.62059,0,0,0,0,0.638,535.5,154.766997,149.5724884,0.132033894,0.056609665,-12.46415599,1.897403214,0.193736855,3,Al/Co/Mo
52506,35,19,21.84464,0,0,0,49.79128,0,0,0,28.36408,0,0,0,0,0.639,532.5,154.1411775,148.9406768,0.132052084,0.05634735,-12.33008559,1.900438896,0.194279265,3,Al/Co/Mo
52507,35,21,21.49259,0,0,0,49.39591,0,0,0,29.1115,0,0,0,0,0.642,529.5,153.992367,148.7859545,0.132070931,0.056083085,-12.19585105,1.903482207,0.194782186,3,Al/Co/Mo
52508,35,23,21.1418,0,0,0,48.99535,0,0,0,29.86285,0,0,0,0,0.645,526.5,153.8354025,148.6231588,0.132090438,0.055816816,-12.06144955,1.90653312,0.195245589,3,Al/Co/Mo
52509,37,-21,30.56972,0,0,0,52.99834,0,0,0,16.43194,0,0,0,0,0.574,693.2117,180.2502927,175.2556331,0.132310063,0.061164532,-15.05946824,1.843471188,0.183939155,3,Al/Co/Mo
52510,37,-19,30.0879,0,0,0,53.03554,0,0,0,16.87656,0,0,0,0,0.582,674.2271,177.757278,172.7493227,0.132272244,0.060961332,-14.93320843,1.846017038,0.184419252,3,Al/Co/Mo
52511,37,-17,29.61122,0,0,0,53.06074,0,0,0,17.32804,0,0,0,0,0.59,653.7017,174.7148534,169.6938485,0.132236104,0.060755401,-14.80615473,1.848568218,0.184888631,3,Al/Co/Mo
52512,37,-15,29.13967,0,0,0,53.07394,0,0,0,17.78639,0,0,0,0,0.597,633.1763,171.2368317,166.2030234,0.132201644,0.06054689,-14.6784006,1.851124783,0.185347164,3,Al/Co/Mo
52513,37,-13,28.67325,0,0,0,53.07515,0,0,0,18.2516,0,0,0,0,0.603,612.6509,167.3511072,162.3047413,0.132168861,0.060335954,-14.55003973,1.853686705,0.185794683,3,Al/Co/Mo
52514,37,-11,28.21197,0,0,0,53.06436,0,0,0,18.72367,0,0,0,0,0.61,592.1255,163.6220394,158.5633622,0.132137758,0.060122741,-14.42116337,1.856253957,0.186231063,3,Al/Co/Mo
52515,37,-9,27.75582,0,0,0,53.04157,0,0,0,19.20261,0,0,0,0,0.615,576.6141,160.6418052,155.5710626,0.132108335,0.059907387,-14.29185479,1.858826594,0.18665617,3,Al/Co/Mo
52516,37,-7,27.30481,0,0,0,53.00678,0,0,0,19.68842,0,0,0,0,0.621,566.1167,159.2559872,154.1734251,0.132080605,0.059690025,-14.16220106,1.861404777,0.187069876,3,Al/Co/Mo
